PUBLICATION,EXTRACT_DATE,PRACTICE_CODE,PRACTICE_NAME,LSOA_CODE,SEX,NUMBER_OF_PATIENTS
GP_PRAC_PAT_LIST,01/07/2026,C83001,HEART OF LINCOLN HEALTH GROUP,E01016710,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C83001,HEART OF LINCOLN HEALTH GROUP,E01016724,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C83001,HEART OF LINCOLN HEALTH GROUP,E01017478,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C83001,HEART OF LINCOLN HEALTH GROUP,E01017606,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C83001,HEART OF LINCOLN HEALTH GROUP,E01017827,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C83001,HEART OF LINCOLN HEALTH GROUP,E01017963,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C83001,HEART OF LINCOLN HEALTH GROUP,E01018115,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C83001,HEART OF LINCOLN HEALTH GROUP,E01018143,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C83001,HEART OF LINCOLN HEALTH GROUP,E01018144,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C83001,HEART OF LINCOLN HEALTH GROUP,E01018146,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C83001,HEART OF LINCOLN HEALTH GROUP,E01018160,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C83001,HEART OF LINCOLN HEALTH GROUP,E01018168,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C83001,HEART OF LINCOLN HEALTH GROUP,E01018264,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C83001,HEART OF LINCOLN HEALTH GROUP,E01018283,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C83001,HEART OF LINCOLN HEALTH GROUP,E01018338,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C83001,HEART OF LINCOLN HEALTH GROUP,E01018340,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C83001,HEART OF LINCOLN HEALTH GROUP,E01018399,MALE,1
