LSOA_Code,LSOA_Name,District,DERI_Score,Digital_Access,Demography_Score,Deprivation_Score,Broadband_Score,Avg_Download_Speed_Mbps,No_Superfast_Broadband_Pct,Slow_Connections_Pct,Aged_65_Plus_Pct,Day_To_Day_Limited_Pct,No_Qualifications_Pct,Pension_Credit_Rate,Unemployment_Rate,Social_Grade_DE_Pct,IMD_2019_Score
E01026294,South Kesteven 007C,South Kesteven,1.710071960031333,0.8289928039968667,1.5014287126318746,0.7248942026535354,2.903892964808589,95.9887372,0.0,0.0,13.565650300000001,10.8276291,20.3098107,6.0,0.4355943,6.596141899999999,4.948
E01026296,South Kesteven 011B,South Kesteven,2.5336680926881865,0.7466331907311814,3.4083641284206263,1.0573150375540359,3.135325112089897,44.25890183,0.0,0.0,33.9907955,20.184089399999998,26.2872629,11.0,0.6574622,5.1939513,10.003
E01026297,South Kesteven 011C,South Kesteven,2.7436338365210164,0.7256366163478983,3.3332003921099327,1.7655862577806658,3.1321148596724497,44.97645914,0.0,0.0,32.8144458,20.174346200000002,42.4460432,29.0,1.1830635,6.662515600000001,13.123
E01026298,South Kesteven 011D,South Kesteven,2.439168652370629,0.7560831347629371,2.779147143993911,1.4181385158987077,3.120220297219269,47.635138,0.0,0.0,22.599140000000002,21.5957955,25.1539409,30.0,1.6722408000000002,8.5045389,19.301
E01026299,South Kesteven 010A,South Kesteven,2.2697458510305544,0.7730254148969445,2.6047061902831077,1.073618454761807,3.130912908046748,45.24512,0.0,0.0,23.2426304,18.3106576,23.594616,13.0,1.7006803000000001,8.5600907,12.41
E01026300,South Kesteven 010B,South Kesteven,2.442379394451502,0.7557620605548498,3.2230582985491067,0.9530156505518121,3.1510642342535866,40.74088496,0.0,0.0,32.0945946,19.1891892,27.694406500000003,9.0,0.7432432,4.3243243,4.04
E01026302,South Kesteven 010D,South Kesteven,2.0898870647112315,0.7910112935288769,2.2751011565190766,0.8800623348299723,3.114497702784646,48.91425532,0.0,0.0,22.2426471,14.246323499999999,24.7983871,9.0,0.7352941,6.3419118,4.552
E01026303,South Kesteven 014A,South Kesteven,1.7970688528608478,0.8202931147139152,1.6699188759081023,0.5994998852986868,3.121787797375754,47.28476954,0.0,0.0,18.1027668,9.0118577,18.7919463,0.0,0.6324111,5.849802400000001,3.438
E01026304,South Kesteven 014B,South Kesteven,2.100560196050919,0.7899439803949081,2.322273610357779,0.8170818363606156,3.1623251414343607,38.22384106,0.0,0.0,25.5701451,11.7484451,20.3894616,10.0,0.3455425,4.492052500000001,7.564
E01026305,South Kesteven 014C,South Kesteven,1.8351606534673996,0.81648393465326,1.708726804363046,0.7052003014761011,3.0915548545630522,54.04245283,0.0,0.0,17.6556777,10.03663,20.0520833,5.0,0.8791209,6.5201465,4.318
