LSOA_CODE,LSOA_NAME,LAD_CODE,LAD_NAME,ONS_Pop_Total_2024,ONS_Pop_0to17,ONS_Pop_18to64,ONS_Pop_65plus,ONS_Pop_18plus,Pct_18plus,Pct_65plus,Pct_0to17,Pct_18to64,GP_Registered_Patients,GP_Registration_Rate_Pct,Registration_Gap_Est,List_Inflation_Est
E01026315,South Kesteven 009A,E07000141,South Kesteven,2207,359,1228,620,1848,83.73357498867242,28.092433167195285,16.26642501132759,55.64114182147711,1496,67.78432260987766,711,0
E01026314,South Kesteven 001B,E07000141,South Kesteven,1385,264,766,355,1121,80.93862815884476,25.63176895306859,19.061371841155232,55.30685920577617,1513,109.2418772563177,0,128
E01026313,South Kesteven 001A,E07000141,South Kesteven,1485,280,796,409,1205,81.14478114478115,27.54208754208754,18.855218855218855,53.602693602693606,1505,101.34680134680134,0,20
E01026312,South Kesteven 005E,E07000141,South Kesteven,1274,414,770,90,860,67.50392464678178,7.064364207221351,32.49607535321821,60.43956043956044,1505,118.13186813186813,0,231
E01026303,South Kesteven 014A,E07000141,South Kesteven,1260,249,717,294,1011,80.23809523809524,23.333333333333332,19.761904761904763,56.904761904761905,1185,94.04761904761905,75,0
E01026302,South Kesteven 010D,E07000141,South Kesteven,1057,195,615,247,862,81.5515610217597,23.36802270577105,18.448438978240304,58.18353831598865,1244,117.69157994323558,0,187
E01026300,South Kesteven 010B,E07000141,South Kesteven,1392,192,710,490,1200,86.20689655172413,35.201149425287355,13.793103448275861,51.00574712643679,1478,106.17816091954022,0,86
E01026299,South Kesteven 010A,E07000141,South Kesteven,1669,355,889,425,1314,78.72977831036549,25.464349910125822,21.27022168963451,53.26542840023967,1639,98.2025164769323,30,0
E01026307,South Kesteven 014E,E07000141,South Kesteven,1307,249,683,375,1058,80.9487375669472,28.69166029074216,19.05126243305279,52.25707727620505,1188,90.89517980107115,119,0
E01026306,South Kesteven 014D,E07000141,South Kesteven,1963,413,1067,483,1550,78.96077432501274,24.60519612837494,21.039225674987264,54.3555781966378,1818,92.61334691798268,145,0
E01026305,South Kesteven 014C,E07000141,South Kesteven,1634,326,1044,264,1308,80.04895960832313,16.156670746634028,19.951040391676866,63.8922888616891,1509,92.3500611995104,125,0
E01026304,South Kesteven 014B,E07000141,South Kesteven,1480,270,820,390,1210,81.75675675675676,26.351351351351347,18.243243243243242,55.4054054054054,1476,99.72972972972973,4,0
E01026360,South Kesteven 012B,E07000141,South Kesteven,2151,402,1149,600,1749,81.3110181311018,27.89400278940028,18.688981868898185,53.417015341701536,2182,101.441190144119,0,31
E01026359,South Kesteven 016G,E07000141,South Kesteven,2612,649,1469,494,1963,75.1531393568147,18.91271056661562,24.8468606431853,56.24042879019908,2268,86.83001531393569,344,0
