LSOA_Code,LSOA_Name,Local_Authority_District,Resident_Population_ONS_2024,GP_Registered_Patients,Number_Difference,Percentage_Difference_Pct,GP_Registration_Coverage_Pct
E01026072,East Lindsey 005A,East Lindsey,2394,2494,100,4.18,104.18
E01026170,Lincoln 010B,Lincoln,1604,1703,99,6.17,106.17
E01034696,North Kesteven 011G,North Kesteven,1520,1618,98,6.45,106.45
E01034686,East Lindsey 012F,East Lindsey,1793,1887,94,5.24,105.24
E01026122,Lincoln 004A,Lincoln,2188,2282,94,4.3,104.3
E01026074,East Lindsey 005C,East Lindsey,2153,2246,93,4.32,104.32
E01026084,East Lindsey 012A,East Lindsey,1618,1711,93,5.75,105.75
E01032988,North Kesteven 013B,North Kesteven,1939,2031,92,4.74,104.74
E01026291,South Kesteven 002A,South Kesteven,2539,2631,92,3.62,103.62
E01026149,Lincoln 001A,Lincoln,1674,1766,92,5.5,105.5
E01026388,West Lindsey 007A,West Lindsey,2262,2353,91,4.02,104.02
E01026182,North Kesteven 003B,North Kesteven,1473,1564,91,6.18,106.18
E01026245,South Holland 010A,South Holland,2630,2721,91,3.46,103.46
E01026325,South Kesteven 003A,South Kesteven,1636,1726,90,5.5,105.5
E01026308,South Kesteven 005A,South Kesteven,1667,1756,89,5.34,105.34
E01026136,Lincoln 008C,Lincoln,1815,1903,88,4.85,104.85
E01026300,South Kesteven 010B,South Kesteven,1392,1478,86,6.18,106.18
E01026083,East Lindsey 015A,East Lindsey,1727,1812,85,4.92,104.92
E01026186,North Kesteven 001A,North Kesteven,1692,1777,85,5.02,105.02
E01026253,South Holland 003D,South Holland,2053,2137,84,4.09,104.09
E01026035,Boston 009C,Boston,2514,2596,82,3.26,103.26
E01026115,East Lindsey 012C,East Lindsey,1699,1780,81,4.77,104.77
E01026056,East Lindsey 017A,East Lindsey,1333,1413,80,6.0,106.0
E01026327,South Kesteven 003C,South Kesteven,1457,1537,80,5.49,105.49
E01026098,East Lindsey 018C,East Lindsey,2100,2179,79,3.76,103.76
E01026256,South Holland 008C,South Holland,1634,1713,79,4.83,104.83
E01026154,Lincoln 004F,Lincoln,1383,1462,79,5.71,105.71
E01026050,East Lindsey 010C,East Lindsey,1554,1632,78,5.02,105.02
E01026414,West Lindsey 008D,West Lindsey,1919,1997,78,4.06,104.06
E01034704,South Kesteven 010F,South Kesteven,2407,2483,76,3.16,103.16
E01026087,East Lindsey 003C,East Lindsey,1631,1705,74,4.54,104.54
E01026135,Lincoln 008B,Lincoln,1767,1841,74,4.19,104.19
E01026296,South Kesteven 011B,South Kesteven,1431,1504,73,5.1,105.1
E01026272,South Holland 007E,South Holland,1424,1497,73,5.13,105.13
E01032989,North Kesteven 013C,North Kesteven,2130,2202,72,3.38,103.38
E01026311,South Kesteven 005D,South Kesteven,1617,1688,71,4.39,104.39
E01026290,South Kesteven 008A,South Kesteven,2177,2247,70,3.22,103.22
E01026389,West Lindsey 003A,West Lindsey,1742,1812,70,4.02,104.02
E01026119,East Lindsey 016F,East Lindsey,1100,1169,69,6.27,106.27
E01026017,Boston 007A,Boston,1602,1671,69,4.31,104.31
E01026225,North Kesteven 003E,North Kesteven,1761,1829,68,3.86,103.86
E01034697,South Holland 006H,South Holland,1562,1630,68,4.35,104.35
E01026162,Lincoln 009E,Lincoln,1484,1551,67,4.51,104.51
E01026138,Lincoln 011B,Lincoln,1387,1453,66,4.76,104.76
E01026207,North Kesteven 012D,North Kesteven,1255,1321,66,5.26,105.26
E01026120,East Lindsey 016G,East Lindsey,1458,1524,66,4.53,104.53
E01026153,Lincoln 002A,Lincoln,2611,2676,65,2.49,102.49
E01026321,South Kesteven 004B,South Kesteven,1443,1508,65,4.5,104.5
E01026233,North Kesteven 011C,North Kesteven,1663,1727,64,3.85,103.85
E01026165,Lincoln 002D,Lincoln,1806,1870,64,3.54,103.54
E01026275,South Holland 006E,South Holland,2687,2749,62,2.31,102.31
E01026215,North Kesteven 014B,North Kesteven,1026,1086,60,5.85,105.85
E01026341,South Kesteven 008B,South Kesteven,1581,1641,60,3.8,103.8
E01026117,East Lindsey 008E,East Lindsey,1927,1987,60,3.11,103.11
E01026047,East Lindsey 013B,East Lindsey,1266,1325,59,4.66,104.66
E01026196,North Kesteven 006D,North Kesteven,1480,1539,59,3.99,103.99
E01026024,Boston 001E,Boston,2267,2325,58,2.56,102.56
E01026362,South Kesteven 012C,South Kesteven,1721,1779,58,3.37,103.37
E01026049,East Lindsey 010B,East Lindsey,1488,1545,57,3.83,103.83
E01026159,Lincoln 009C,Lincoln,1441,1497,56,3.89,103.89
E01026383,West Lindsey 004E,West Lindsey,1472,1528,56,3.8,103.8
E01026059,East Lindsey 013D,East Lindsey,1131,1186,55,4.86,104.86
E01026247,South Holland 001D,South Holland,2005,2060,55,2.74,102.74
E01026137,Lincoln 011A,Lincoln,1129,1184,55,4.87,104.87
E01026343,South Kesteven 006D,South Kesteven,1898,1951,53,2.79,102.79
E01026400,West Lindsey 009D,West Lindsey,1530,1583,53,3.46,103.46
E01026250,South Holland 003A,South Holland,2203,2255,52,2.36,102.36
E01026282,South Holland 004B,South Holland,2031,2080,49,2.41,102.41
E01026157,Lincoln 002C,Lincoln,1484,1533,49,3.3,103.3
E01026371,West Lindsey 011D,West Lindsey,1257,1306,49,3.9,103.9
E01026264,South Holland 009C,South Holland,1631,1680,49,3.0,103.0
E01026375,West Lindsey 006B,West Lindsey,2029,2077,48,2.37,102.37
E01026055,East Lindsey 013C,East Lindsey,1164,1212,48,4.12,104.12
E01026241,South Holland 005A,South Holland,2059,2107,48,2.33,102.33
E01026166,Lincoln 001C,Lincoln,1461,1508,47,3.22,103.22
E01034692,Lincoln 008F,Lincoln,1532,1579,47,3.07,103.07
E01026288,South Kesteven 015B,South Kesteven,1625,1671,46,2.83,102.83
E01026096,East Lindsey 015C,East Lindsey,1469,1514,45,3.06,103.06
E01032991,North Kesteven 014E,North Kesteven,2304,2348,44,1.91,101.91
E01026043,East Lindsey 008B,East Lindsey,1967,2010,43,2.19,102.19
E01034690,Lincoln 007F,Lincoln,1566,1608,42,2.68,102.68
E01026406,West Lindsey 010E,West Lindsey,1252,1294,42,3.35,103.35
E01026345,South Kesteven 006F,South Kesteven,1750,1791,41,2.34,102.34
E01026332,South Kesteven 007E,South Kesteven,2199,2240,41,1.86,101.86
E01026100,East Lindsey 013E,East Lindsey,1859,1900,41,2.21,102.21
