"lsoa11","samhi_index.2011","samhi_dec.2011","samhi_index.2012","samhi_dec.2012","samhi_index.2013","samhi_dec.2013","samhi_index.2014","samhi_dec.2014","samhi_index.2015","samhi_dec.2015","samhi_index.2016","samhi_dec.2016","samhi_index.2017","samhi_dec.2017","samhi_index.2018","samhi_dec.2018","samhi_index.2019","samhi_dec.2019","samhi_index.2020","samhi_dec.2020","samhi_index.2021","samhi_dec.2021","samhi_index.2022","samhi_dec.2022"
"E01003275",-0.538886124562033,8,-0.296130348353589,8,-0.736821729581351,5,-0.653492053410937,5,-0.142299691502169,7,-0.14347366871864,6,0.156360664800255,6,0.799085193084455,8,1.06595616172789,8,0.679580937761437,7,1.16888434828761,8,1.46533651547111,9
"E01003276",-1.2364879251709,4,-1.37381843251383,2,-1.15242230929207,3,-0.889945566607635,3,-0.867400648693762,3,-0.736601087021866,3,-0.753289940955188,2,-0.51638099912934,2,-0.302431330436617,2,-0.406567689222015,2,0.118598010349631,3,-0.240825663530638,2
"E01003277",-1.19615514007098,4,-1.01883722547146,4,-0.809563474878698,5,-1.00463765340589,3,-0.804896842221861,3,-0.944363085375688,2,-0.892814579681844,1,-0.511089288113724,2,0.0159362898768408,4,-0.12335942810719,3,-0.152661210732462,2,0.0382745079661297,3
"E01003278",-1.28953946700678,3,-1.29884997820076,2,-0.884789543651255,5,-0.830445690496172,4,-0.790320236123038,3,-0.698643334036101,3,-0.625066749697558,2,-0.0579235710120661,4,-0.253155861611488,2,-0.0760955453395733,3,-0.00104650530844653,3,0.146009436390547,3
"E01003279",-1.34440067399131,3,-1.21599918931455,3,-1.1727467187118,3,-1.10130417711543,2,-0.831649064400136,3,-0.910125946062349,2,-0.587736986156428,3,-0.709510540734643,1,-0.315472036675334,2,-0.282422752279231,2,-0.393112477517013,1,-0.187618667805462,2
"E01003280",-0.658438862729683,7,-0.337496496082058,8,-0.361578654836913,7,0.129671851176006,8,-0.232182586373376,6,-0.663498273461437,3,-1.01977558365651,1,-0.555198559163688,2,-0.815862453939755,1,-0.282937879143646,2,-0.371687895236484,1,-0.217415452962661,2
"E01003281",-1.30277797409427,3,-1.05272162077379,4,-0.860077009861386,5,-0.782785914974838,4,-0.815777986900437,3,-0.747146900289149,3,-0.266872186970288,4,-0.332705867458759,3,-0.568971882865817,1,-0.640878826046023,1,-0.378157881658108,1,-0.411947416035478,1
"E01003282",-1.4797903706673,2,-1.12030416591507,3,-1.12737014823874,3,-0.93717764759505,3,-1.06958561128185,2,-1.00289483529239,2,-0.985268739904703,1,-0.882427067098254,1,-0.701812597707456,1,-0.520990834022354,1,-0.52388147236725,1,-0.660289716299706,1
"E01003283",-1.64327249546828,2,-1.56900334953146,1,-1.40096062182992,2,-1.35241828478332,1,-1.3009098841425,1,-1.24192866525664,1,-1.27374616620772,1,-1.06378357123118,1,-1.00639853577004,1,-0.8588512657168,1,-0.726901253729801,1,-0.606679894490285,1
"E01003284",-1.33507692320012,3,-1.16526767607158,3,-1.14430919427722,3,-1.07455386514538,3,-1.1552224541905,2,-1.07543023548974,1,-1.06990339534763,1,-0.772616872755081,1,-0.557595112974704,1,-0.66394044390888,1,-0.393266499650268,1,-0.419510920634865,1
