LSOA_Code,LSOA_Name,Total_All_Households,One-person household_Count,One-person household_Pct,One-person household: Aged 66 years and over_Count,One-person household: Aged 66 years and over_Pct,One-person household: Other_Count,One-person household: Other_Pct,Single family household_Count,Single family household_Pct,Single family household: All aged 66 years and over_Count,Single family household: All aged 66 years and over_Pct,Single family household: Married or civil partnership couple_Count,Single family household: Married or civil partnership couple_Pct,Single family household: Married or civil partnership couple: No children_Count,Single family household: Married or civil partnership couple: No children_Pct,Single family household: Married or civil partnership couple: Dependent children_Count,Single family household: Married or civil partnership couple: Dependent children_Pct,Single family household: Married or civil partnership couple: All children non-dependent_Count,Single family household: Married or civil partnership couple: All children non-dependent_Pct,Single family household: Cohabiting couple family_Count,Single family household: Cohabiting couple family_Pct,Single family household: Cohabiting couple family: No children_Count,Single family household: Cohabiting couple family: No children_Pct,Single family household: Cohabiting couple family: With dependent children_Count,Single family household: Cohabiting couple family: With dependent children_Pct,Single family household: Cohabiting couple family: All children non-dependent_Count,Single family household: Cohabiting couple family: All children non-dependent_Pct,Single family household: Lone parent family_Count,Single family household: Lone parent family_Pct,Single family household: Lone parent family: With dependent children_Count,Single family household: Lone parent family: With dependent children_Pct,Single family household: Lone parent family: All children non-dependent_Count,Single family household: Lone parent family: All children non-dependent_Pct,Single family household: Other single family household_Count,Single family household: Other single family household_Pct,Single family household: Other single family household: Other family composition_Count,Single family household: Other single family household: Other family composition_Pct,Other household types_Count,Other household types_Pct,Other household types: With dependent children_Count,Other household types: With dependent children_Pct,"Other household types: Other, including all full-time students and all aged 66 years and over_Count","Other household types: Other, including all full-time students and all aged 66 years and over_Pct"
E01026007,Boston 001A,488,119,24.4,72,14.8,47,9.6,346,70.9,86,17.6,185,37.9,100,20.5,51,10.5,34,7.0,45,9.2,22,4.5,19,3.9,4,0.8,28,5.7,21,4.3,7,1.4,2,0.4,2,0.4,23,4.7,11,2.3,12,2.5
E01026008,Boston 001B,563,152,27.0,105,18.7,47,8.3,381,67.7,92,16.3,194,34.5,92,16.3,55,9.8,47,8.3,51,9.1,23,4.1,23,4.1,5,0.9,42,7.5,26,4.6,16,2.8,2,0.4,2,0.4,30,5.3,14,2.5,16,2.8
E01026009,Boston 001C,514,120,23.3,74,14.4,46,8.9,359,69.8,89,17.3,181,35.2,87,16.9,60,11.7,34,6.6,48,9.3,26,5.1,16,3.1,6,1.2,39,7.6,19,3.7,20,3.9,2,0.4,2,0.4,35,6.8,17,3.3,18,3.5
E01026010,Boston 002A,751,213,28.4,67,8.9,146,19.4,475,63.2,18,2.4,169,22.5,55,7.3,87,11.6,27,3.6,136,18.1,44,5.9,84,11.2,8,1.1,144,19.2,113,15.0,31,4.1,8,1.1,8,1.1,63,8.4,32,4.3,31,4.1
E01026012,Boston 004A,534,181,33.9,120,22.5,61,11.4,335,62.7,85,15.9,118,22.1,53,9.9,39,7.3,26,4.9,54,10.1,20,3.7,31,5.8,3,0.6,75,14.0,51,9.6,24,4.5,3,0.6,3,0.6,18,3.4,9,1.7,9,1.7
E01026013,Boston 008A,620,156,25.2,108,17.4,48,7.7,429,69.2,114,18.4,215,34.7,98,15.8,80,12.9,37,6.0,64,10.3,27,4.4,30,4.8,7,1.1,36,5.8,15,2.4,21,3.4,0,0.0,0,0.0,35,5.6,13,2.1,22,3.5
E01026014,Boston 008B,780,158,20.3,97,12.4,61,7.8,579,74.2,104,13.3,295,37.8,123,15.8,117,15.0,55,7.1,102,13.1,52,6.7,43,5.5,7,0.9,74,9.5,54,6.9,20,2.6,4,0.5,4,0.5,43,5.5,18,2.3,25,3.2
E01026015,Boston 004B,698,172,24.6,72,10.3,100,14.3,478,68.5,48,6.9,184,26.4,77,11.0,77,11.0,30,4.3,144,20.6,69,9.9,65,9.3,10,1.4,96,13.8,71,10.2,25,3.6,6,0.9,6,0.9,48,6.9,24,3.4,24,3.4
E01026016,Boston 006A,1030,252,24.5,155,15.0,97,9.4,727,70.6,156,15.1,339,32.9,161,15.6,113,11.0,65,6.3,138,13.4,69,6.7,56,5.4,13,1.3,89,8.6,50,4.9,39,3.8,5,0.5,5,0.5,51,5.0,20,1.9,31,3.0
E01026017,Boston 007A,699,177,25.3,113,16.2,64,9.2,482,69.0,91,13.0,235,33.6,113,16.2,75,10.7,47,6.7,82,11.7,52,7.4,27,3.9,3,0.4,71,10.2,34,4.9,37,5.3,3,0.4,3,0.4,40,5.7,17,2.4,23,3.3
E01026018,Boston 007B,734,183,24.9,111,15.1,72,9.8,512,69.8,134,18.3,273,37.2,148,20.2,83,11.3,42,5.7,54,7.4,36,4.9,13,1.8,5,0.7,46,6.3,21,2.9,25,3.4,5,0.7,5,0.7,39,5.3,16,2.2,23,3.1
E01026019,Boston 007C,1153,324,28.1,177,15.4,147,12.7,746,64.7,91,7.9,325,28.2,125,10.8,142,12.3,58,5.0,150,13.0,58,5.0,79,6.9,13,1.1,173,15.0,129,11.2,44,3.8,7,0.6,7,0.6,83,7.2,38,3.3,45,3.9
E01026020,Boston 007D,1184,282,23.8,125,10.6,157,13.3,845,71.4,148,12.5,361,30.5,136,11.5,149,12.6,76,6.4,212,17.9,112,9.5,89,7.5,11,0.9,118,10.0,90,7.6,28,2.4,6,0.5,6,0.5,57,4.8,24,2.0,33,2.8
E01026021,Boston 003B,797,265,33.2,128,16.1,137,17.2,479,60.1,87,10.9,225,28.2,71,8.9,110,13.8,44,5.5,88,11.0,47,5.9,35,4.4,6,0.8,74,9.3,48,6.0,26,3.3,5,0.6,5,0.6,53,6.6,24,3.0,29,3.6
E01026022,Boston 008C,918,223,24.3,161,17.5,62,6.8,627,68.3,161,17.5,320,34.9,114,12.4,157,17.1,49,5.3,86,9.4,48,5.2,32,3.5,6,0.7,56,6.1,29,3.2,27,2.9,4,0.4,4,0.4,68,7.4,36,3.9,32,3.5
E01026023,Boston 001D,603,151,25.0,102,16.9,49,8.1,411,68.2,118,19.6,189,31.3,98,16.3,57,9.5,34,5.6,64,10.6,42,7.0,16,2.7,6,1.0,38,6.3,24,4.0,14,2.3,2,0.3,2,0.3,41,6.8,16,2.7,25,4.1
E01026024,Boston 001E,925,229,24.8,139,15.0,90,9.7,633,68.4,119,12.9,326,35.2,146,15.8,114,12.3,66,7.1,101,10.9,51,5.5,45,4.9,5,0.5,85,9.2,54,5.8,31,3.4,2,0.2,2,0.2,63,6.8,28,3.0,35,3.8
E01026025,Boston 003C,1085,387,35.7,84,7.7,303,27.9,580,53.5,32,2.9,237,21.8,81,7.5,121,11.2,35,3.2,153,14.1,85,7.8,59,5.4,9,0.8,136,12.5,100,9.2,36,3.3,22,2.0,22,2.0,118,10.9,46,4.2,72,6.6
E01026026,Boston 004C,899,268,29.8,137,15.2,131,14.6,529,58.8,49,5.5,231,25.7,63,7.0,127,14.1,41,4.6,116,12.9,39,4.3,69,7.7,8,0.9,130,14.5,86,9.6,44,4.9,3,0.3,3,0.3,102,11.3,59,6.6,43,4.8
E01026027,Boston 004D,748,195,26.1,100,13.4,95,12.7,477,63.8,67,9.0,209,27.9,75,10.0,104,13.9,30,4.0,113,15.1,54,7.2,51,6.8,8,1.1,79,10.6,50,6.7,29,3.9,9,1.2,9,1.2,76,10.2,40,5.3,36,4.8
E01026028,Boston 004E,858,330,38.5,174,20.3,156,18.2,456,53.1,66,7.7,198,23.1,77,9.0,85,9.9,36,4.2,95,11.1,44,5.1,41,4.8,10,1.2,91,10.6,60,7.0,31,3.6,6,0.7,6,0.7,72,8.4,31,3.6,41,4.8
E01026030,Boston 002C,1119,391,34.9,216,19.3,175,15.6,621,55.5,68,6.1,203,18.1,67,6.0,107,9.6,29,2.6,148,13.2,53,4.7,81,7.2,14,1.3,178,15.9,140,12.5,38,3.4,24,2.1,24,2.1,107,9.6,52,4.6,55,4.9
E01026031,Boston 009B,700,186,26.6,116,16.6,70,10.0,465,66.4,130,18.6,203,29.0,89,12.7,71,10.1,43,6.1,70,10.0,31,4.4,34,4.9,5,0.7,62,8.9,41,5.9,21,3.0,0,0.0,0,0.0,49,7.0,19,2.7,30,4.3
E01026032,Boston 002D,771,209,27.1,93,12.1,116,15.0,418,54.2,35,4.5,161,20.9,68,8.8,59,7.7,34,4.4,90,11.7,41,5.3,42,5.4,7,0.9,109,14.1,73,9.5,36,4.7,23,3.0,23,3.0,144,18.7,69,8.9,75,9.7
E01026033,Boston 006B,1006,234,23.3,112,11.1,122,12.1,701,69.7,133,13.2,324,32.2,151,15.0,114,11.3,59,5.9,161,16.0,104,10.3,51,5.1,6,0.6,79,7.9,53,5.3,26,2.6,4,0.4,4,0.4,71,7.1,32,3.2,39,3.9
E01026034,Boston 006C,837,271,32.4,138,16.5,133,15.9,538,64.3,117,14.0,250,29.9,112,13.4,95,11.4,43,5.1,96,11.5,54,6.5,35,4.2,7,0.8,74,8.8,49,5.9,25,3.0,1,0.1,1,0.1,28,3.3,14,1.7,14,1.7
E01026035,Boston 009C,1071,264,24.6,154,14.4,110,10.3,748,69.8,158,14.8,367,34.3,142,13.3,155,14.5,70,6.5,147,13.7,76,7.1,60,5.6,11,1.0,74,6.9,39,3.6,35,3.3,2,0.2,2,0.2,59,5.5,28,2.6,31,2.9
E01026036,Boston 003D,651,205,31.5,67,10.3,138,21.2,342,52.5,31,4.8,128,19.7,53,8.1,55,8.4,20,3.1,94,14.4,50,7.7,43,6.6,1,0.2,74,11.4,52,8.0,22,3.4,15,2.3,15,2.3,104,16.0,44,6.8,60,9.2
E01026037,Boston 002E,689,234,34.0,97,14.1,137,19.9,397,57.6,34,4.9,138,20.0,49,7.1,69,10.0,20,2.9,87,12.6,42,6.1,36,5.2,9,1.3,129,18.7,97,14.1,32,4.6,9,1.3,9,1.3,58,8.4,29,4.2,29,4.2
E01026038,Boston 008D,654,185,28.3,93,14.2,92,14.1,436,66.7,80,12.2,190,29.1,92,14.1,71,10.9,27,4.1,103,15.7,59,9.0,35,5.4,9,1.4,60,9.2,37,5.7,23,3.5,3,0.5,3,0.5,33,5.0,18,2.8,15,2.3
E01026039,Boston 009D,510,125,24.5,92,18.0,33,6.5,358,70.2,78,15.3,176,34.5,87,17.1,46,9.0,43,8.4,57,11.2,16,3.1,37,7.3,4,0.8,44,8.6,28,5.5,16,3.1,3,0.6,3,0.6,27,5.3,12,2.4,15,2.9
E01026040,Boston 008E,678,146,21.5,57,8.4,89,13.1,480,70.8,59,8.7,229,33.8,85,12.5,103,15.2,41,6.0,119,17.6,59,8.7,54,8.0,6,0.9,72,10.6,54,8.0,18,2.7,1,0.1,1,0.1,52,7.7,21,3.1,31,4.6
E01026041,Boston 007E,613,229,37.4,121,19.7,108,17.6,361,58.9,51,8.3,160,26.1,66,10.8,74,12.1,20,3.3,68,11.1,20,3.3,43,7.0,5,0.8,78,12.7,64,10.4,14,2.3,4,0.7,4,0.7,23,3.8,16,2.6,7,1.1
E01026042,East Lindsey 008A,770,253,32.9,120,15.6,133,17.3,484,62.9,81,10.5,181,23.5,81,10.5,76,9.9,24,3.1,108,14.0,45,5.8,56,7.3,7,0.9,108,14.0,76,9.9,32,4.2,6,0.8,6,0.8,33,4.3,11,1.4,22,2.9
E01026043,East Lindsey 008B,812,261,32.1,131,16.1,130,16.0,523,64.4,108,13.3,229,28.2,112,13.8,77,9.5,40,4.9,98,12.1,42,5.2,51,6.3,5,0.6,86,10.6,53,6.5,33,4.1,2,0.2,2,0.2,28,3.4,15,1.8,13,1.6
E01026044,East Lindsey 008C,612,156,25.5,104,17.0,52,8.5,422,69.0,129,21.1,210,34.3,108,17.6,52,8.5,50,8.2,46,7.5,28,4.6,17,2.8,1,0.2,35,5.7,12,2.0,23,3.8,2,0.3,2,0.3,34,5.6,14,2.3,20,3.3
E01026045,East Lindsey 001A,881,243,27.6,149,16.9,94,10.7,600,68.1,187,21.2,272,30.9,150,17.0,74,8.4,48,5.4,81,9.2,46,5.2,28,3.2,7,0.8,57,6.5,35,4.0,22,2.5,3,0.3,3,0.3,38,4.3,12,1.4,26,3.0
E01026046,East Lindsey 013A,595,164,27.6,92,15.5,72,12.1,407,68.4,83,13.9,184,30.9,93,15.6,63,10.6,28,4.7,84,14.1,41,6.9,37,6.2,6,1.0,54,9.1,37,6.2,17,2.9,2,0.3,2,0.3,24,4.0,13,2.2,11,1.8
E01026047,East Lindsey 013B,627,177,28.2,123,19.6,54,8.6,430,68.6,163,26.0,170,27.1,86,13.7,51,8.1,33,5.3,49,7.8,32,5.1,15,2.4,2,0.3,43,6.9,24,3.8,19,3.0,5,0.8,5,0.8,20,3.2,8,1.3,12,1.9
E01026048,East Lindsey 010A,784,269,34.3,161,20.5,108,13.8,482,61.5,142,18.1,193,24.6,121,15.4,39,5.0,33,4.2,78,9.9,43,5.5,33,4.2,2,0.3,63,8.0,34,4.3,29,3.7,6,0.8,6,0.8,33,4.2,12,1.5,21,2.7
E01026049,East Lindsey 010B,749,237,31.6,155,20.7,82,10.9,476,63.6,131,17.5,220,29.4,134,17.9,43,5.7,43,5.7,82,10.9,45,6.0,32,4.3,5,0.7,39,5.2,18,2.4,21,2.8,4,0.5,4,0.5,36,4.8,13,1.7,23,3.1
E01026050,East Lindsey 010C,818,259,31.7,192,23.5,67,8.2,518,63.3,211,25.8,195,23.8,124,15.2,32,3.9,39,4.8,63,7.7,43,5.3,14,1.7,6,0.7,43,5.3,16,2.0,27,3.3,6,0.7,6,0.7,41,5.0,14,1.7,27,3.3
E01026051,East Lindsey 016A,611,165,27.0,77,12.6,88,14.4,421,68.9,85,13.9,209,34.2,95,15.5,79,12.9,35,5.7,76,12.4,38,6.2,34,5.6,4,0.7,49,8.0,32,5.2,17,2.8,2,0.3,2,0.3,25,4.1,10,1.6,15,2.5
E01026052,East Lindsey 016B,844,219,25.9,98,11.6,121,14.3,601,71.2,127,15.0,312,37.0,125,14.8,150,17.8,37,4.4,100,11.8,53,6.3,46,5.5,1,0.1,59,7.0,43,5.1,16,1.9,3,0.4,3,0.4,24,2.8,10,1.2,14,1.7
E01026053,East Lindsey 016C,777,153,19.7,66,8.5,87,11.2,585,75.3,82,10.6,337,43.4,126,16.2,176,22.7,35,4.5,99,12.7,44,5.7,48,6.2,7,0.9,65,8.4,44,5.7,21,2.7,2,0.3,2,0.3,39,5.0,16,2.1,23,3.0
E01026054,East Lindsey 016D,713,249,34.9,104,14.6,145,20.3,434,60.9,81,11.4,187,26.2,71,10.0,83,11.6,33,4.6,64,9.0,37,5.2,25,3.5,2,0.3,97,13.6,61,8.6,36,5.0,5,0.7,5,0.7,30,4.2,16,2.2,14,2.0
E01026055,East Lindsey 013C,493,114,23.1,74,15.0,40,8.1,349,70.8,83,16.8,199,40.4,109,22.1,53,10.8,37,7.5,47,9.5,27,5.5,14,2.8,6,1.2,20,4.1,7,1.4,13,2.6,0,0.0,0,0.0,30,6.1,15,3.0,15,3.0
E01026056,East Lindsey 017A,518,103,19.9,63,12.2,40,7.7,373,72.0,90,17.4,187,36.1,83,16.0,59,11.4,45,8.7,73,14.1,39,7.5,28,5.4,6,1.2,22,4.2,8,1.5,14,2.7,1,0.2,1,0.2,42,8.1,23,4.4,19,3.7
E01026057,East Lindsey 018A,868,241,27.8,129,14.9,112,12.9,582,67.1,126,14.5,303,34.9,157,18.1,91,10.5,55,6.3,95,10.9,59,6.8,29,3.3,7,0.8,55,6.3,26,3.0,29,3.3,3,0.3,3,0.3,45,5.2,27,3.1,18,2.1
E01026058,East Lindsey 002A,1017,246,24.2,145,14.3,101,9.9,729,71.7,165,16.2,369,36.3,184,18.1,132,13.0,53,5.2,123,12.1,64,6.3,52,5.1,7,0.7,71,7.0,41,4.0,30,2.9,1,0.1,1,0.1,42,4.1,15,1.5,27,2.7
E01026059,East Lindsey 013D,493,115,23.3,73,14.8,42,8.5,345,70.0,85,17.2,187,37.9,100,20.3,54,11.0,33,6.7,46,9.3,24,4.9,20,4.1,2,0.4,24,4.9,11,2.2,13,2.6,3,0.6,3,0.6,33,6.7,14,2.8,19,3.9
E01026060,East Lindsey 009A,574,136,23.7,85,14.8,51,8.9,414,72.1,111,19.3,218,38.0,125,21.8,60,10.5,33,5.7,54,9.4,36,6.3,17,3.0,1,0.2,27,4.7,12,2.1,15,2.6,4,0.7,4,0.7,24,4.2,12,2.1,12,2.1
E01026061,East Lindsey 001B,501,112,22.4,69,13.8,43,8.6,369,73.7,93,18.6,182,36.3,97,19.4,53,10.6,32,6.4,54,10.8,28,5.6,24,4.8,2,0.4,38,7.6,24,4.8,14,2.8,2,0.4,2,0.4,20,4.0,10,2.0,10,2.0
E01026062,East Lindsey 001C,520,167,32.1,83,16.0,84,16.2,329,63.3,63,12.1,168,32.3,70,13.5,60,11.5,38,7.3,49,9.4,23,4.4,21,4.0,5,1.0,47,9.0,34,6.5,13,2.5,2,0.4,2,0.4,24,4.6,13,2.5,11,2.1
E01026063,East Lindsey 001D,693,172,24.8,107,15.4,65,9.4,501,72.3,132,19.0,238,34.3,110,15.9,89,12.8,39,5.6,82,11.8,52,7.5,29,4.2,1,0.1,47,6.8,32,4.6,15,2.2,2,0.3,2,0.3,20,2.9,8,1.2,12,1.7
E01026064,East Lindsey 011A,711,211,29.7,88,12.4,123,17.3,487,68.5,53,7.5,209,29.4,80,11.3,91,12.8,38,5.3,100,14.1,43,6.0,53,7.5,4,0.6,121,17.0,83,11.7,38,5.3,4,0.6,4,0.6,13,1.8,4,0.6,9,1.3
E01026065,East Lindsey 011B,893,289,32.4,186,20.8,103,11.5,571,63.9,163,18.3,254,28.4,123,13.8,95,10.6,36,4.0,88,9.9,49,5.5,35,3.9,4,0.4,62,6.9,40,4.5,22,2.5,4,0.4,4,0.4,33,3.7,9,1.0,24,2.7
E01026066,East Lindsey 011C,966,265,27.4,160,16.6,105,10.9,670,69.4,177,18.3,317,32.8,161,16.7,117,12.1,39,4.0,114,11.8,71,7.3,38,3.9,5,0.5,60,6.2,41,4.2,19,2.0,2,0.2,2,0.2,31,3.2,11,1.1,20,2.1
E01026067,East Lindsey 011D,974,438,45.0,182,18.7,256,26.3,505,51.8,78,8.0,202,20.7,100,10.3,73,7.5,29,3.0,119,12.2,66,6.8,46,4.7,7,0.7,102,10.5,63,6.5,39,4.0,4,0.4,4,0.4,31,3.2,13,1.3,18,1.8
E01026068,East Lindsey 009B,948,227,23.9,131,13.8,96,10.1,669,70.6,167,17.6,309,32.6,169,17.8,89,9.4,51,5.4,125,13.2,81,8.5,36,3.8,8,0.8,68,7.2,40,4.2,28,3.0,0,0.0,0,0.0,52,5.5,21,2.2,31,3.3
E01026069,East Lindsey 010D,1061,347,32.7,197,18.6,150,14.1,668,63.0,184,17.3,267,25.2,170,16.0,46,4.3,51,4.8,110,10.4,59,5.6,46,4.3,5,0.5,103,9.7,68,6.4,35,3.3,4,0.4,4,0.4,46,4.3,11,1.0,35,3.3
E01026070,East Lindsey 009C,949,221,23.3,125,13.2,96,10.1,678,71.4,154,16.2,350,36.9,167,17.6,125,13.2,58,6.1,106,11.2,69,7.3,33,3.5,4,0.4,66,7.0,42,4.4,24,2.5,2,0.2,2,0.2,50,5.3,14,1.5,36,3.8
E01026071,East Lindsey 007A,953,231,24.2,132,13.9,99,10.4,679,71.2,176,18.5,354,37.1,191,20.0,88,9.2,75,7.9,87,9.1,53,5.6,33,3.5,1,0.1,57,6.0,29,3.0,28,2.9,5,0.5,5,0.5,43,4.5,14,1.5,29,3.0
E01026072,East Lindsey 005A,1013,325,32.1,188,18.6,137,13.5,623,61.5,163,16.1,214,21.1,110,10.9,61,6.0,43,4.2,116,11.5,39,3.8,72,7.1,5,0.5,124,12.2,78,7.7,46,4.5,6,0.6,6,0.6,65,6.4,25,2.5,40,3.9
E01026073,East Lindsey 005B,960,390,40.6,214,22.3,176,18.3,506,52.7,138,14.4,201,20.9,124,12.9,45,4.7,32,3.3,82,8.5,50,5.2,29,3.0,3,0.3,77,8.0,43,4.5,34,3.5,8,0.8,8,0.8,64,6.7,29,3.0,35,3.6
E01026074,East Lindsey 005C,1057,336,31.8,210,19.9,126,11.9,678,64.1,197,18.6,268,25.4,166,15.7,52,4.9,50,4.7,104,9.8,60,5.7,37,3.5,7,0.7,100,9.5,46,4.4,54,5.1,9,0.9,9,0.9,43,4.1,16,1.5,27,2.6
E01026075,East Lindsey 018B,953,229,24.0,131,13.7,98,10.3,678,71.1,181,19.0,337,35.4,172,18.0,114,12.0,51,5.4,101,10.6,63,6.6,29,3.0,9,0.9,55,5.8,33,3.5,22,2.3,4,0.4,4,0.4,46,4.8,17,1.8,29,3.0
E01026076,East Lindsey 002B,973,220,22.6,130,13.4,90,9.2,697,71.6,184,18.9,367,37.7,198,20.3,103,10.6,66,6.8,87,8.9,47,4.8,36,3.7,4,0.4,58,6.0,30,3.1,28,2.9,1,0.1,1,0.1,56,5.8,24,2.5,32,3.3
E01026077,East Lindsey 003A,651,160,24.6,88,13.5,72,11.1,461,70.8,80,12.3,191,29.3,86,13.2,74,11.4,31,4.8,80,12.3,34,5.2,41,6.3,5,0.8,110,16.9,78,12.0,32,4.9,0,0.0,0,0.0,30,4.6,11,1.7,19,2.9
E01026078,East Lindsey 003B,475,171,36.0,81,17.1,90,18.9,291,61.3,45,9.5,136,28.6,55,11.6,56,11.8,25,5.3,52,10.9,24,5.1,25,5.3,3,0.6,56,11.8,40,8.4,16,3.4,2,0.4,2,0.4,13,2.7,5,1.1,8,1.7
E01026079,East Lindsey 002C,866,229,26.4,152,17.6,77,8.9,573,66.2,155,17.9,258,29.8,132,15.2,68,7.9,58,6.7,102,11.8,53,6.1,42,4.8,7,0.8,56,6.5,31,3.6,25,2.9,2,0.2,2,0.2,64,7.4,23,2.7,41,4.7
E01026080,East Lindsey 001E,903,231,25.6,151,16.7,80,8.9,639,70.8,186,20.6,312,34.6,168,18.6,87,9.6,57,6.3,83,9.2,49,5.4,29,3.2,5,0.6,56,6.2,40,4.4,16,1.8,2,0.2,2,0.2,33,3.7,16,1.8,17,1.9
E01026081,East Lindsey 004A,1192,521,43.7,228,19.1,293,24.6,647,54.3,107,9.0,253,21.2,121,10.2,97,8.1,35,2.9,149,12.5,81,6.8,59,4.9,9,0.8,133,11.2,87,7.3,46,3.9,5,0.4,5,0.4,24,2.0,9,0.8,15,1.3
E01026082,East Lindsey 007B,1034,249,24.1,161,15.6,88,8.5,735,71.1,219,21.2,368,35.6,184,17.8,107,10.3,77,7.4,95,9.2,57,5.5,28,2.7,10,1.0,51,4.9,22,2.1,29,2.8,2,0.2,2,0.2,50,4.8,18,1.7,32,3.1
E01026083,East Lindsey 015A,789,280,35.5,144,18.3,136,17.2,467,59.2,70,8.9,170,21.5,69,8.7,68,8.6,33,4.2,86,10.9,31,3.9,49,6.2,6,0.8,139,17.6,89,11.3,50,6.3,2,0.3,2,0.3,42,5.3,20,2.5,22,2.8
E01026084,East Lindsey 012A,711,225,31.6,110,15.5,115,16.2,438,61.6,76,10.7,166,23.3,63,8.9,62,8.7,41,5.8,106,14.9,56,7.9,46,6.5,4,0.6,82,11.5,51,7.2,31,4.4,8,1.1,8,1.1,48,6.8,19,2.7,29,4.1
E01026087,East Lindsey 003C,629,188,29.9,78,12.4,110,17.5,427,67.9,42,6.7,163,25.9,59,9.4,81,12.9,23,3.7,123,19.6,49,7.8,64,10.2,10,1.6,99,15.7,80,12.7,19,3.0,0,0.0,0,0.0,14,2.2,5,0.8,9,1.4
E01026088,East Lindsey 003D,626,187,29.9,104,16.6,83,13.3,417,66.6,106,16.9,189,30.2,93,14.9,73,11.7,23,3.7,75,12.0,42,6.7,27,4.3,6,1.0,46,7.3,26,4.2,20,3.2,1,0.2,1,0.2,22,3.5,6,1.0,16,2.6
E01026089,East Lindsey 004C,995,364,36.6,212,21.3,152,15.3,602,60.5,156,15.7,272,27.3,128,12.9,90,9.0,54,5.4,90,9.0,57,5.7,27,2.7,6,0.6,80,8.0,46,4.6,34,3.4,4,0.4,4,0.4,29,2.9,9,0.9,20,2.0
E01026090,East Lindsey 003E,622,212,34.1,135,21.7,77,12.4,392,63.0,98,15.8,170,27.3,78,12.5,52,8.4,40,6.4,59,9.5,27,4.3,30,4.8,2,0.3,61,9.8,36,5.8,25,4.0,4,0.6,4,0.6,18,2.9,10,1.6,8,1.3
E01026091,East Lindsey 003F,500,134,26.8,71,14.2,63,12.6,347,69.4,62,12.4,172,34.4,69,13.8,82,16.4,21,4.2,69,13.8,35,7.0,32,6.4,2,0.4,44,8.8,32,6.4,12,2.4,0,0.0,0,0.0,19,3.8,6,1.2,13,2.6
E01026092,East Lindsey 014A,645,239,37.1,86,13.3,153,23.7,363,56.3,38,5.9,156,24.2,63,9.8,67,10.4,26,4.0,97,15.0,44,6.8,49,7.6,4,0.6,66,10.2,48,7.4,18,2.8,6,0.9,6,0.9,43,6.7,18,2.8,25,3.9
E01026093,East Lindsey 014B,919,467,50.8,142,15.5,325,35.4,380,41.3,42,4.6,138,15.0,71,7.7,43,4.7,24,2.6,122,13.3,69,7.5,47,5.1,6,0.7,66,7.2,43,4.7,23,2.5,12,1.3,12,1.3,72,7.8,27,2.9,45,4.9
E01026094,East Lindsey 015B,1069,393,36.8,222,20.8,171,16.0,645,60.3,119,11.1,218,20.4,111,10.4,68,6.4,39,3.6,141,13.2,50,4.7,85,8.0,6,0.6,166,15.5,134,12.5,32,3.0,1,0.1,1,0.1,31,2.9,11,1.0,20,1.9
E01026095,East Lindsey 014C,596,258,43.3,99,16.6,159,26.7,304,51.0,54,9.1,136,22.8,61,10.2,45,7.6,30,5.0,70,11.7,40,6.7,25,4.2,5,0.8,44,7.4,31,5.2,13,2.2,0,0.0,0,0.0,34,5.7,20,3.4,14,2.3
E01026096,East Lindsey 015C,618,124,20.1,70,11.3,54,8.7,461,74.6,95,15.4,241,39.0,108,17.5,96,15.5,37,6.0,68,11.0,37,6.0,26,4.2,5,0.8,54,8.7,37,6.0,17,2.8,3,0.5,3,0.5,33,5.3,13,2.1,20,3.2
E01026097,East Lindsey 015D,751,297,39.5,198,26.4,99,13.2,417,55.5,110,14.6,152,20.2,67,8.9,53,7.1,32,4.3,80,10.7,51,6.8,26,3.5,3,0.4,72,9.6,36,4.8,36,4.8,3,0.4,3,0.4,37,4.9,13,1.7,24,3.2
E01026098,East Lindsey 018C,903,240,26.6,153,16.9,87,9.6,627,69.4,148,16.4,319,35.3,143,15.8,118,13.1,58,6.4,89,9.9,53,5.9,33,3.7,3,0.3,68,7.5,36,4.0,32,3.5,3,0.3,3,0.3,36,4.0,20,2.2,16,1.8
E01026099,East Lindsey 005D,900,229,25.4,143,15.9,86,9.6,615,68.3,170,18.9,294,32.7,160,17.8,76,8.4,58,6.4,94,10.4,59,6.6,30,3.3,5,0.6,55,6.1,27,3.0,28,3.1,2,0.2,2,0.2,56,6.2,23,2.6,33,3.7
E01026100,East Lindsey 013E,845,268,31.7,114,13.5,154,18.2,558,66.0,103,12.2,204,24.1,95,11.2,79,9.3,30,3.6,150,17.8,72,8.5,71,8.4,7,0.8,99,11.7,70,8.3,29,3.4,2,0.2,2,0.2,19,2.2,7,0.8,12,1.4
E01026101,East Lindsey 013F,615,248,40.3,145,23.6,103,16.7,340,55.3,63,10.2,139,22.6,47,7.6,67,10.9,25,4.1,70,11.4,25,4.1,41,6.7,4,0.7,65,10.6,44,7.2,21,3.4,3,0.5,3,0.5,27,4.4,11,1.8,16,2.6
E01026102,East Lindsey 018D,992,247,24.9,134,13.5,113,11.4,672,67.7,165,16.6,316,31.9,165,16.6,91,9.2,60,6.0,115,11.6,69,7.0,36,3.6,10,1.0,71,7.2,40,4.0,31,3.1,5,0.5,5,0.5,73,7.4,27,2.7,46,4.6
