LSOA_code,Region,LA_Code,LA_Name,Hosp_pop,HospPTt,HospPT15n,HospPT30n,HospPT45n,HospPT60n,HospPT15pct,HospPT30pct,HospPT45pct,HospPT60pct,HospCyct,HospCyc15n,HospCyc30n,HospCyc45n,HospCyc60n,HospCyc15pct,HospCyc30pct,HospCyc45pct,HospCyc60pct,HospCart,HospCar15n,HospCar30n,HospCar45n,HospCar60n,HospCar15pct,HospCar30pct,HospCar45pct,HospCar60pct,HospWalkt,HospWalk15n,HospWalk30n,HospWalk45n,HospWalk60n,HospWalk15pct,HospWalk30pct,HospWalk45pct,HospWalk60pct
E01026029,East Midlands,E07000136,Boston,1065.74256896973,31.5173484724997,0,0.305858993488464,1,1,0,30.5858993488464,100,100,25.8547966292638,0,1,1,1,0,100,100,100,16.8786493130227,0,1,1,3.36643495433177,0,100,100,100,58.7165343817612,0,0,0,0.792452835051233,0,0,0,79.2452835051233
E01026030,East Midlands,E07000136,Boston,1051.98427581787,27.3528672250518,0,0.876257537194779,1,1,0,87.6257537194779,100,100,21.5959759468314,0,1,1,1,0,100,100,100,14.3807645410619,0.893360168510026,1,1,1.37826960613453,89.3360168510026,100,100,100,44.7061667721741,0,0,0.46881287160176,1,0,0,46.881287160176,100
E01026031,East Midlands,E07000136,Boston,654.050567626953,32.7086238233204,0,0,1,1,0,0,100,100,23.7627184102679,0,1,1,1,0,100,100,100,15.4206150034071,0,1,1,1,0,100,100,100,51.9090932763327,0,0,0,1,0,0,0,100
E01026032,East Midlands,E07000136,Boston,829.734046936035,29.1501143309268,0,0.526785712397458,1,1,0,52.6785712397458,100,100,21.5648085976151,0,1,1,1,0,100,100,100,13.8288649251909,1,1,1,1.70153060964122,100,100,100,100,43.0755351698598,0,0,0.848214288751916,1,0,0,84.8214288751916,100
E01026033,East Midlands,E07000136,Boston,835.025718688965,55.32776918427,0,0,0,0.709759187086462,0,0,0,70.9759187086462,57.5958686051722,0,0,0.160963242517432,0.514575408810342,0,0,16.0963242517432,51.4575408810342,27.6479216541507,0,0.837769330232246,1,4.0443599720347,0,83.7769330232246,100,100,118.683320627085,0,0,0,0,0,0,0,0
E01026034,East Midlands,E07000136,Boston,839.259071350098,60.0479568293264,0,0,0,0.848675910959633,0,0,0,84.8675910959633,58.9651443224072,0,0,0,0.766708700229307,0,0,0,76.6708700229307,27.7914625926729,0,1,1,5.23329129977069,0,100,100,100,120,0,0,0,0,0,0,0,0
E01026035,East Midlands,E07000136,Boston,919.692459106445,36.8620021207738,0,0,1,1,0,0,100,100,25.8523473186864,0,1,1,1,0,100,100,100,15.8056044708038,0,1,1,2.74798619911929,0,100,100,100,58.581875945881,0,0,0,0.753739923031827,0,0,0,75.3739923031827
E01026036,East Midlands,E07000136,Boston,727.075630187988,20.6355605976972,0,1,1,1,0,100,100,100,16.5525620976127,0,1,1,1,0,100,100,100,11.6195631280069,1,1,1,1.41921397141638,100,100,100,100,27.7347453972474,0,0.580786028583623,1,1,0,58.0786028583623,100,100
E01026037,East Midlands,E07000136,Boston,633.94221496582,26.8744740767542,0,0.799666102930588,1,1,0,79.9666102930588,100,100,18.3321702755026,0,1,1,1,0,100,100,100,12.7111853946403,1,1,1,1.24373956534049,100,100,100,100,33.3922206929591,0,0,1,1,0,0,100,100
E01026038,East Midlands,E07000136,Boston,606.42552947998,33.6369637709026,0,0.20942408963195,1,1,0,20.942408963195,100,100,20.9290573274452,0,1,1,1,0,100,100,100,13.0669457083286,1,1,1,1,100,100,100,100,34.6872254515151,0,0,1,1,0,0,100,100
