LSOA_code,Region,LA_Code,LA_Name,Ph_pop,PhCyct,PhCyc15n,PhCyc30n,PhCyc45n,PhCyc60n,PhCyc15pct,PhCyc30pct,PhCyc45pct,PhCyc60pct,PhCart,PhCar15n,PhCar30n,PhCar45n,PhCar60n,PhCar15pct,PhCar30pct,PhCar45pct,PhCar60pct
E01026091,East Midlands,E07000137,East Lindsey,486,9.0524786068843,4,4,4,4,100,100,100,100,7.00880344606872,4,8.31275720164609,10,10,100,100,100,100
E01026092,East Midlands,E07000137,East Lindsey,641,4.20648427301817,5,6.40561622464899,8,9,100,100,100,100,3.99591655103681,6.59594383775351,10,10,10,100,100,100,100
E01026093,East Midlands,E07000137,East Lindsey,867,5.27765107528378,5,6.72087658592849,8,9,100,100,100,100,4.92190422537118,6.61130334486736,10,10,10,100,100,100,100
E01026094,East Midlands,E07000137,East Lindsey,850,9.62390477944085,5,5.70823529411765,8,9,100,100,100,100,7.51438698139667,5.84705882352941,10,10,10,100,100,100,100
E01026095,East Midlands,E07000137,East Lindsey,491,9.73916602497973,4.46843177189409,5.74541751527495,8,9,100,100,100,100,7.669783431239,5.22199592668024,10,10,10,100,100,100,100
E01026096,East Midlands,E07000137,East Lindsey,624,11.590571800403,4,5,8,9,100,100,100,100,8.96032486494832,5,9.81410256410256,10,10,100,100,100,100
E01026097,East Midlands,E07000137,East Lindsey,785,8.17484508517762,5,6,8,9,100,100,100,100,7.60327466709513,5.17707006369427,10,10,10,100,100,100,100
E01026098,East Midlands,E07000137,East Lindsey,896,35.7548375289495,0,0,6.05580357142857,7.74330357142857,--,--,100,100,14.5152888518042,1.34933035714286,10,10,10,74.3303571428571,100,100,100
E01026099,East Midlands,E07000137,East Lindsey,905,41.7975429461948,0,0.805524861878453,2,4.72375690607735,--,26.8508287292818,59.6685082872928,100,16.2304316198434,1.04088397790055,10,10,10,34.6961325966851,100,100,100
E01026100,East Midlands,E07000137,East Lindsey,823,7.05668107358546,1,1,1,2.2636695018226,100,100,100,100,6.71183185744388,1,10,10,10,100,100,100,100
E01026101,East Midlands,E07000137,East Lindsey,602,6.66197233881666,1,1,1,2,100,100,100,100,6.6422343663739,1,9.04485049833887,10,10,100,100,100,100
E01026102,East Midlands,E07000137,East Lindsey,963,47.2032158948607,0,0,0.279335410176532,3.25649013499481,--,--,27.9335410176532,100,19.2216485257876,0,9.24299065420561,10,10,--,100,100,100
E01026103,East Midlands,E07000137,East Lindsey,1027,5.75052914200315,2,5,5.42161635832522,7,100,100,100,100,5.68063693807266,5,9,10,10,100,100,100,100
E01026104,East Midlands,E07000137,East Lindsey,1105,10.9294394682097,2,4.85972850678733,5.23619909502262,7.23619909502262,100,100,100,100,7.85135161084022,4.08054298642534,9,10,10,100,100,100,100
