LSOA_code,Region,LA_Code,LA_Name,GP_pop,GPPTt,GPPT15n,GPPT30n,GPPT45n,GPPT60n,GPPT15pct,GPPT30pct,GPPT45pct,GPPT60pct,GPCyct,GPCyc15n,GPCyc30n,GPCyc45n,GPCyc60n,GPCyc15pct,GPCyc30pct,GPCyc45pct,GPCyc60pct,GPCart,GPCar15n,GPCar30n,GPCar45n,GPCar60n,GPCar15pct,GPCar30pct,GPCar45pct,GPCar60pct,GPWalkt,GPWalk15n,GPWalk30n,GPWalk45n,GPWalk60n,GPWalk15pct,GPWalk30pct,GPWalk45pct,GPWalk60pct
E01026232,East Midlands,E07000139,North Kesteven,1118.30602264404,8.94753694277846,1,1.99310348201085,6.0098522358041,9.86798029810721,100,100,100,100,9.04376351877787,1,1.13694580956142,3.53300492888434,4.13694580956142,100,100,100,100,8.01318224640475,2.13694580956142,8.83448277005389,10,10,100,100,100,100,9.45788171533863,1,1,1,1,100,100,100,100
E01026233,East Midlands,E07000139,North Kesteven,796.586463928223,16.412696804579,0.360995849628879,1.82019364567522,5.30013833612644,9.66528356080524,36.0995849628879,100,100,100,12.6139694714186,1,1,4,4,100,100,100,100,10.2760027637167,1.66390041982592,10,10,10,100,100,100,100,21.9873445530077,0.168741360576705,1,1,1,16.8741360576705,100,100,100
E01026234,East Midlands,E07000139,North Kesteven,1157.97007751465,19.0719505422271,0.198858230946475,1.75927687520704,3.2616555750105,9.67745005130999,19.8858230946475,100,100,100,17.2550050066762,0.468125601843341,1,3.57754519982922,4,46.8125601843341,100,100,100,11.643815337582,1.73073262910313,10,10,10,100,100,100,100,36.8367457478501,0,0.577545199829218,0.577545199829218,1,0,57.7545199829218,57.7545199829218,100
E01026235,East Midlands,E07000139,North Kesteven,805.40071105957,10.82534899506,0.801641582046677,2.19562242892994,6.63474689577034,9.80164158204668,80.1641582046677,100,100,100,9.51777033918121,1,1,4,4,100,100,100,100,7.60243505296632,1.22982214963031,9.75376197306616,10,10,100,100,100,100,11.8183447965028,0.801641582046677,1,1,1,80.1641582046677,100,100,100
E01026236,East Midlands,E07000139,North Kesteven,577.332374572754,16.2041224488997,0.328244267646882,1,4,9.00763359192222,32.8244267646882,100,100,100,12.3289314123845,1,1.32824426764688,3.45038168554282,4,100,100,100,100,9.10694665934169,1.32824426764688,9.11450381275881,10,10,100,100,100,100,19.7386263043748,0,1,1,1,0,100,100,100
E01026237,East Midlands,E07000139,North Kesteven,542.075439453125,8.78601617779059,1,6,10,10,100,100,100,100,8.40953239387762,1,9.75406505689892,10,10,100,100,100,100,6.86256084378409,5.49796748562496,10,10,10,100,100,100,100,10.3983737474809,1,1,5.00609759942279,6,100,100,100,100
E01026238,East Midlands,E07000139,North Kesteven,579.535949707031,12.1021292554176,1,5.76806083590123,10,10,100,100,100,100,11.1741065075956,1,7.47148289483953,10,10,100,100,100,100,8.36224323135544,5.52851710516047,10,10,10,100,100,100,100,19.06787052267,0,1.23193916409877,4.47148289483953,6,0,100,100,100
E01026239,East Midlands,E07000140,South Holland,826.917282104492,12.1116448941512,0.732647817329264,1,2.28149102175857,6.46529563465853,73.2647817329264,100,100,100,8.924408581782,1,1,3.06940874913556,9.46529563465853,100,100,100,100,6.93993587341871,1,10,10,10,100,100,100,100,12.1116448941512,0.732647817329264,1,1,1,73.2647817329264,100,100,100
E01026240,East Midlands,E07000140,South Holland,1024.61217498779,15.2744501353916,0.533195033399128,1,2.57987551665618,6.72717842407845,53.3195033399128,100,100,100,9.92174283452108,1,1,3.08713693335358,10,100,100,100,100,7.48255204155799,1,10,10,10,100,100,100,100,15.2744501353916,0.533195033399128,1,1,1,53.3195033399128,100,100,100
E01026241,East Midlands,E07000140,South Holland,820.5400390625,45.4924730130593,0,0,3.29533682918905,5.23186537246216,0,0,82.3834207297262,82.3834207297262,35.2232386508365,0,0,3.29015545390386,5.49093263044298,0,0,100,100,15.437590554855,0.314766837740246,9.29533682918905,10,10,31.4766837740246,100,100,100,99.7124746284961,0,0,0,0,0,0,0,0
E01026242,East Midlands,E07000140,South Holland,660.045822143555,20.0264733127058,0,2,5.77777777777778,9.71819645866705,0,100,100,100,26.1022060701153,0,1.68115941777705,3,5.84219001777826,0,100,100,100,12.2313203948469,1.84219001777826,10,10,10,100,100,100,100,69.9665380116769,0,0,0,0,0,0,0,0
E01026243,East Midlands,E07000140,South Holland,605.839141845703,19.5421754575273,0,2.25789475460501,5.99649125935409,10,0,100,100,100,27.3884035099184,0,2,3,5.43684211427717,0,100,100,100,11.6260522533748,2.25789475460501,10,10,10,100,100,100,100,73.8807024147486,0,0,0,0,0,0,0,0
E01026244,East Midlands,E07000140,South Holland,579.267250061035,25.399064002648,0.722935787356476,2.06422021671524,5.15045877011606,7.85871568390984,72.2935787356476,72.2935787356476,81.2844045977202,81.2844045977202,16.2049908671015,0.812844045977202,1.08990825862073,2.91009176772081,6.8128440459772,81.2844045977202,100,100,100,9.91939446181244,1.08990825862073,9.6256880919544,10,10,100,100,100,100,36.830697156362,0,0.423853224856606,0.812844045977202,0.812844045977202,0,42.3853224856606,81.2844045977202,81.2844045977202
E01026245,East Midlands,E07000140,South Holland,991.663024902344,19.3345550442003,0.55948552282835,2.51018222476977,4.65058950637477,7.60878888243521,55.948552282835,83.9228299629596,100,100,18.2182096990619,0.546623778181959,2.24437300979781,3.8392282996296,4.84780276015736,27.3311889090979,83.9228299629596,100,100,10.7102250447389,2.51768489888879,9.67845659925919,10,10,83.9228299629596,100,100,100,43.4777503521393,0.140407281604997,0.546623778181959,0.966773836588201,1.95712755887755,14.0407281604997,27.3311889090979,56.055734001124,83.9228299629596
E01026246,East Midlands,E07000140,South Holland,1010.79479980469,59.8189905657311,0.0967402693168991,1.06309147736392,1.71713984453225,2.74237643849698,9.67402693168991,40.9043110195592,40.9043110195592,54.8895899863183,25.2783703299927,0.0967402693168991,1.25552050068408,2.39642480566531,3.69821240283265,9.67402693168991,69.8212402832655,100,100,13.6093164193438,1.66561512619331,7.74763403016099,10,10,69.8212402832655,100,100,100,66.3532705034622,0,0.0967402693168991,0.409043110195592,0.548895899863183,0,9.67402693168991,40.9043110195592,54.8895899863183
E01026247,East Midlands,E07000140,South Holland,866.243682861328,10.2340980912146,1.09938650677418,4.46871166228813,7.9079754612574,10,92.7607364265014,100,100,100,8.46476068235001,1,1.56441717623907,5.0134969355196,7.32024539799492,100,100,100,100,6.73527596607174,1.56441717623907,10,10,10,100,100,100,100,10.7690797631892,0.927607364265014,0.927607364265014,1,1.07239263573499,92.7607364265014,92.7607364265014,100,100
E01026248,East Midlands,E07000140,South Holland,948.085117340088,53.3555713631292,0,0.533632306860819,1.01681615845989,2.92713010339698,0,26.681615343041,53.5874447373723,53.5874447373723,22.0551798669607,0.533632306860819,1.76233184222774,3.36434978478368,6.42376684233286,26.681615343041,82.8475337409958,100,100,12.6601229078176,1.65470852625985,9.37668162198195,10,10,71.9730947162033,100,100,100,53.3555713631292,0,0.533632306860819,0.923766832273908,1.07174889474745,0,26.681615343041,53.5874447373723,53.5874447373723
E01026249,East Midlands,E07000140,South Holland,821.602928161621,42.7291849388281,0.261319537525507,0.261319537525507,1.04915911715108,2.49159119936877,13.0659768762753,13.0659768762753,39.8447600179996,85.5109956817465,31.5952908875972,0.261319537525507,0.645536872571708,2.08408796916837,4.9676584748254,13.0659768762753,25.7438551904478,100,100,14.839650720867,0.645536872571708,9.29495473076445,10,10,25.7438551904478,100,100,100,87.7410212780026,0.261319537525507,0.261319537525507,0.261319537525507,0.514877103808955,13.0659768762753,13.0659768762753,13.0659768762753,25.7438551904478
E01026250,East Midlands,E07000140,South Holland,893.878479003906,5.66234246151036,2,2.81688464323549,6.34126039027525,7.81688464323549,100,100,100,100,6.99942933220066,2,2.828775262789,4,7.15576693349848,100,100,100,100,6.14468494192232,3.14863258225076,10,10,10,100,100,100,100,5.66234246151036,2,2,2,2,100,100,100,100
E01026251,East Midlands,E07000140,South Holland,841.797561645508,16.0615403723757,0.505050487107165,3.33838382346157,7,8,35.3535339162372,100,100,100,11.5427020441588,2,3,4,7.20202019121758,100,100,100,100,7.94893936195779,3,10,10,10,100,100,100,100,18.4973235257895,0.151515147944793,2,2,2.19949496125882,15.1515147944793,100,100,100
E01026252,East Midlands,E07000140,South Holland,827.980163574219,8.59174577719965,1.68421052340596,2.84467266054123,6.36842104681192,7.84467266054123,100,100,100,100,8.64128381406116,2,3,4,7.83953786286472,100,100,100,100,6.75064179245379,3.49935815720129,10,10,10,100,100,100,100,8.59174577719965,1.68421052340596,2,2,2,100,100,100,100
E01026253,East Midlands,E07000140,South Holland,847.111938476563,13.9920954499747,0.784190688908676,2.34378920017909,4.84441653813991,7.17189460008955,46.0476771806666,100,100,100,10.1017817554939,2,2.32371391710201,4,6.59096610280132,100,100,100,100,7.66279804177,3.13927225157975,10,10,10,100,100,100,100,13.9920954499747,0.784190688908676,2,2,2,46.0476771806666,100,100,100
E01026254,East Midlands,E07000140,South Holland,887.501205444336,25.3545026780312,0.323353296501733,0.456287428361802,2.78323352436853,3.92455090092152,32.3353296501733,45.6287428361802,100,100,18.2825149642201,0.456287428361802,1,2.4550898342578,6.53413173284127,45.6287428361802,100,100,100,10.177736393536,1.13293413186007,10,10,10,100,100,100,100,43.3645855120584,0.323353296501733,0.456287428361802,0.456287428361802,0.456287428361802,32.3353296501733,45.6287428361802,45.6287428361802,45.6287428361802
E01026255,East Midlands,E07000140,South Holland,918.324600219727,10.954780183739,0.54050925504759,1.70370370554991,4.363425923272,5.87037038052453,54.050925504759,100,100,100,8.53785891898867,1,1,3,5.63310186887161,100,100,100,100,6.88887720229014,1,10,10,10,100,100,100,100,10.954780183739,0.54050925504759,1,1,1,54.050925504759,100,100,100
E01026256,East Midlands,E07000140,South Holland,731.258480072021,21.1917297679808,0.553779072292346,0.73255814784508,2.7950581690376,4.14825585743037,55.3779072292346,73.255814784508,100,100,11.9864679568509,0.659883725828396,1,2.85465115596663,4.20203490624793,65.9883725828396,100,100,100,8.3455378098814,1,9.73255814784508,10,10,100,100,100,100,22.509317116768,0.553779072292346,0.659883725828396,1,1,55.3779072292346,65.9883725828396,100,100
E01026257,East Midlands,E07000140,South Holland,909.821594238281,12.6513321314203,0.844626162503286,1.46028037602614,3.54439251301964,4.53387848750986,84.4626162503286,84.4626162503286,100,100,9.07843455384297,1,1,3,4.84462616250329,100,100,100,100,7.08424052033996,1.92056075205227,9.84462616250329,10,10,100,100,100,100,12.6513321314203,0.844626162503286,0.844626162503286,1,1,84.4626162503286,84.4626162503286,100,100
E01026258,East Midlands,E07000140,South Holland,793.968147277832,15.867764251327,0.511378857655664,4.83935743199575,6.82864792682152,10,34.1365470221668,100,100,100,12.1437350585174,1.170013387434,3,5,6.34002677486799,100,100,100,100,8.62547527766123,3,10,10,10,100,100,100,100,21.8733066666928,0.170013387433996,1.170013387434,2.34136547022167,3,17.0013387433997,100,100,100
E01026259,East Midlands,E07000140,South Holland,747.201614379883,33.9095021682071,0,0.99857752737698,3.98435278072553,5.83641536245519,0,33.2859175792327,100,100,27.332006232994,0,1.55618776561023,3.75533427999429,6.26742532281653,0,62.019914596301,100,100,15.0610809497215,0.935988619647221,9.80085348561594,10,10,46.799430982361,100,100,100,72.8130732877976,0,0,0,0.46799430982361,0,0,0,46.799430982361
E01026260,East Midlands,E07000140,South Holland,910.884475708008,16.53017483443,0.250875150607518,4.83430572289724,6.83430572289724,10,25.0875150607518,100,100,100,14.1836521564667,0.66511086011603,3.16569427710276,5,6,66.511086011603,100,100,100,9.37695425731627,3,10,10,10,100,100,100,100,29.151412464403,0,0.529754961515251,1.66511086011603,2.83430572289724,0,52.9754961515251,100,100
E01026262,East Midlands,E07000140,South Holland,678.114700317383,24.6339503775172,0,2.09717869283774,5.1943573631737,8.55485895039313,0,77.2727277841314,100,100,15.9901567304399,0.595611274967837,3,4,5.38871472634739,40.125391179414,100,100,100,10.7032286457149,3,10,10,10,100,100,100,100,34.8171158155304,0,0.595611274967837,2.46394983902788,3,0,40.125391179414,82.1316613009293,100
E01026263,East Midlands,E07000140,South Holland,855.614944458008,26.8683230784382,0,1.57763976229733,5,9.42111803061053,0,84.3478268313201,100,100,15.3592172797063,0.525465833901352,3,4,5.15527950676095,52.5465833901352,100,100,100,11.0186957246242,3,10,10,10,100,100,100,100,31.2337637857799,0,0.383850926160753,2.8434782683132,3,0,38.3850926160753,100,100
