LSOA_code,Region,LA_Code,LA_Name,Hosp_pop,HospPTt,HospPT15n,HospPT30n,HospPT45n,HospPT60n,HospPT15pct,HospPT30pct,HospPT45pct,HospPT60pct,HospCyct,HospCyc15n,HospCyc30n,HospCyc45n,HospCyc60n,HospCyc15pct,HospCyc30pct,HospCyc45pct,HospCyc60pct,HospCart,HospCar15n,HospCar30n,HospCar45n,HospCar60n,HospCar15pct,HospCar30pct,HospCar45pct,HospCar60pct
E01026111,East Midlands,E07000137,East Lindsey,565.117425,37.3491648252368,0,0.178378,0.801801,1.801801,0,17.8378,80.1801,100,58.2667857609845,0,0,0,0.801801,0,0,0,80.1801,19.7991456327975,0,1.801801,2,3,0,100,100,100
E01026112,East Midlands,E07000137,East Lindsey,477.54968,23.5080205414052,0,1,1,1.509594,0,100,100,100,38.6266868235311,0,0,1,1,0,0,100,100,15.1826226908836,0.788912,1,2.788912,3,78.8912,100,100,100
E01026113,East Midlands,E07000137,East Lindsey,744.325835,57.1569221169441,0,0,0.095759,0.930232,0,0,9.5759,70.3146,59.008115964133,0,0,0.205198,0.571819,0,0,20.5198,57.1819,23.1036140272482,0,1.184678,2.796169,4.027359,0,100,100,100
E01026114,East Midlands,E07000137,East Lindsey,650.64871,12.1084141212722,1,1,1,1,100,100,100,100,9.50978757975983,1,1,1,1,100,100,100,100,8.49438616987404,1,1,3,3,100,100,100,100
E01026115,East Midlands,E07000137,East Lindsey,755.526359,18.4253553142984,0,1,1,1,0,100,100,100,16.7451090104287,0,1,1,1,0,100,100,100,11.7583383043864,1,1,2.459568,3,100,100,100,100
E01026116,East Midlands,E07000137,East Lindsey,678.14091,15.7229521861572,0.163663,1,1,1,16.3663,100,100,100,12.5809102308792,1,1,1,1,100,100,100,100,10.1574971995804,1,1,2.806306,3,100,100,100,100
E01026117,East Midlands,E07000137,East Lindsey,833.930039,52.0656530920383,0,0.120879,0.692307,0.692307,0,12.0879,69.2307,69.2307,63.4384508386122,0,0,0.120879,0.621489,0,0,12.0879,62.1489,23.8070521090938,0,1,2.428571,4.120879,0,100,100,100
E01026118,East Midlands,E07000137,East Lindsey,710.724257,66.8837233412344,0,0,0,0,0,0,0,0,108.494395526657,0,0,0,0,0,0,0,0,37.8296676467814,0,0,3,6.141833,0,0,100,100
E01026119,East Midlands,E07000137,East Lindsey,480.604369,73.9280547432854,0,0,0,0,0,0,0,0,105.033161822865,0,0,0,0,0,0,0,0,36.2353253434991,0,0,2.743644,6.743644,0,0,100,100
E01026120,East Midlands,E07000137,East Lindsey,609.919528,63.5608663830304,0,0,0,0.165275,0,0,0,16.5275,107.156074386268,0,0,0,0,0,0,0,0,36.7173489789678,0,0,3,6.834724,0,0,100,100
E01026121,East Midlands,E07000137,East Lindsey,1108.852029,40.0181653640729,0,0,1.327823,1.804407,0,0,85.6749,94.7658,74.9066792827922,0,0,0,0,0,0,0,0,26.2387026461934,0,1.714416,2.303948,6.714416,0,100,100,100
E01026122,East Midlands,E07000138,Lincoln,707.645952,14.852397936267,0.557377,1,1,1,55.7377,100,100,100,10.2165784284354,1,1,1,1,100,100,100,100,9.64698684753094,1,1,2.797317,8,100,100,100,100
E01026123,East Midlands,E07000138,Lincoln,972.354051,15.9667480191289,0.301518,1,1,1,30.1518,100,100,100,11.7270085915189,0.785249,1,1,1,78.5249,100,100,100,9.75030201804209,1,1,2.21475,8.21475,100,100,100,100
E01026124,East Midlands,E07000138,Lincoln,636.986817,10.1794871794872,1,1,1,1,100,100,100,100,8.4029582496581,1,1,1,1,100,100,100,100,7.89355228094849,1,1,2.566225,8,100,100,100,100
E01026125,East Midlands,E07000138,Lincoln,600.075331,10.9563636363636,1,1,1,1,100,100,100,100,9.01611389973405,1,1,1,1,100,100,100,100,8.3975096628089,1,1,2,8,100,100,100,100
E01026126,East Midlands,E07000138,Lincoln,827.871941,13.6884210526316,0.829299,1,1,1,82.9299,100,100,100,9.64316308229489,1,1,1,1,100,100,100,100,8.72195490756173,1,1,3,8,100,100,100,100
